to_id,from_id,post_type,date,text,copy_text
7110301,7110301,post,1493320920,"Ох, ох, очень нужны испытуемые! <br><br>Большое спасибо всем, кто уже принял участие в исследовании. Я занимаюсь валидизацией краткой версии нового личностного опросника. Если методика получится хорошей, я опубликую её в свободном доступе, чтобы все желающие могли пользоваться. <br>Но для того, чтобы сделать всё правильно, сейчас нужно ещё хотя бы человек 150. Ответ на все вопросы занимает примерно 10 минут, а ваша помощь будет неоценимой! <br><br>Пожалуйста, максимальный репост! <br>https://vk.com/app5619682_-82411386#167828",NA
7110301,7110301,post,1508983492,Дурацкая квадратная луна,NA
7110301,7110301,post,1508525760,"Очень не вовремя я заболел. Сентябрь, всё интересное начинается, у меня кашель, температура, печаль. Когда через несколько дней не стало лучше, вызвал из поликлиники врача. Тот пришел, провёл краткий осмотр (послушал, посмотрел горло) и, не спрашивая больше ничего, сказал, что ОРВИ. Назначил ""противовирусное"". Ну, из категории тех, что не прошли никаких внятных клинических испытаний, зато дорогие. <br><br>Когда через несколько дней лучше всё еще не стало, я пошел в поликлинику сам. Зашел к терапевту, сделал флюорографию. У терапевта был цирк. Я стараюсь не писать плохого про других людей в публичном пространстве, но тут просто невозможно удержаться. Они просто, блин, опоссумы. <br><br>На этот раз я сам рассказал всю историю своей болезни, которой к тому моменту было уже 7-8 дней. После чего врач послушала меня в двух местах (спереди и сзади) и сказала, - догадайтесь - что ОРВИ. Назначила совершенно безумное лечение, в центре которого были Ринза (жаропонижающее) и Анаферон (гомеопатическое ""противовирусное""). Когда я спросил, а занахрена нужна симптоматическая Ринза, сказала ещё с умным видом: ""Лечение имеет смысл в только комплексе"". И, вообще не посмотрев горло, назначила заодно и фарингосепт. Единственный жизнеспособный совет, который я получил: ""Горячее не пить, холодное не пить"". Благодарствую. <br><br>Вернулся домой я с полный отсутствием веры в людей, так как мне-то уже было совершенно ясно к тому моменту, что никакое это не ОРВИ. Погрустил немного - и вызвал врача из платной клиники, лелея надежду, что хоть он окажется не опоссумом. Пока я его ждал, позвонили из флюорографии и сказали: ""У вас пневмония, подходите за снимочком"". О как, пневмония. <br><br>К счастью, врач из платной клиники действительно оказался хорошим. Даже очень. Я всё ему рассказал, он очень долго и внимательно меня осматривал и подтвердил мои соображения о том, что уже по той информации, которую я дал самому первому врачу (и тем более второму), можно было уже однозначно заключить, что это не ОРВИ, а бактериальная инфекция. Он также сказал, что ни одного признака пневмонии у меня нет, но назначил такое лечение, которое было бы эффективно и в ситуации пневмонии. <br><br>Я не буду подавать в суд на тех врачей из гос. поликлиники, ограничусь отзывами в каталоге врачей и этой историей. Но вообще-то стоило бы в суд. Потому что если лечить пневмонию анафероном, можно вполне неиллюзорно умереть, а если лечить им бронхит или трахеит - получить серьезные осложнения. <br><br>Выводы?<br>1) Наверное, в гос. клиниках есть хорошие врачи, а в частных - точно есть плохие. Если удалось найти хорошего, стоит поддерживать связь. <br>2) Если хоть что-то вызывает сомнения, лучше сходить еще к нескольким врачам той же специальности, узнать их мнение. А то может быть опасно. Вон: пневмония. <br>3) Обращать внимание на то, как обычно проходят лично у меня вирусные, а как не вирусные заболевания и т.д. По возможности самостоятельно изучить вопрос, посмотреть в классификаторах болезней и т.д.",NA
7110301,7110301,copy,1508330774,"Кем я стал, когда вырос?",NA
7110301,7110301,copy,1507680635,"Я никогда особо не понимал, что происходит",NA
7110301,7110301,post,1506263338,,NA
7110301,7110301,post,1504209171,(•ิ_•ิ),NA
7110301,7110301,post,1501946672,,NA
7110301,7110301,post,1501867598,"Я хочу запомнить всё таким<br>Цвета свежескошенной травы<br>Дом, где я был нужен и любим<br>Дом теперь утраченный, увы<br><br>Я иду искать неясный клад<br>В миллионе книг и паре слов<br>Впереди сомнения и чад<br>Но я к ним почти-почти готов<br><br>У меня есть нужный инструмент<br>Полные карманы пустоты<br>И в такой пронзительный момент<br>В прошлое уходишь только ты<br><br>Странная победа и беда<br>Дом где я был нужен и любим<br>Потому я не вернусь туда<br>Я хочу запомнить всё таким",NA
7110301,7110301,post,1501579263,,NA
7110301,7110301,post,1501360257,😃,NA
7110301,7110301,post,1501066371,,NA
7110301,7110301,copy,1501007542,"Стажировка в отделе маркетинга в Lobster — лондонском стартапе. Стажировка длится три месяца, удаленная работа не менее 20 часов в день. По окончании стажировки лучшему стажеру будет подарена недельная поездка в Лондоне с оплатой расходов. Возможно последующее трудоустройство.<br>http://amp.gs/Ze9T","Не менее 20 часов день - всё, что вы хотели знать об анти?рабстве, но боялись (и правильно) спросить."
